"DATE","DESCRIPTION","AMOUNT","CHECK #","STATUS"
"07/10/2026","AMAZON MKTPL*58M779","-34.68","","Posted"
"07/10/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"07/10/2026","CHECK","-100.00","101","Posted"
"07/08/2026","HELLOFRESH","-68.13","","Posted"
"07/08/2026","DD *DOORDASH 773","-42.54","","Posted"
"07/07/2026","ACME CORP PAYROLL","2823.20","","Posted"
"07/07/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"07/06/2026","DD *DOORDASH 513","-19.15","","Posted"
"07/06/2026","STARBUCKS STORE 665","-7.04","","Posted"
"07/06/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"07/05/2026","DD *DOORDASH 971","-29.77","","Posted"
"07/04/2026","KROGER #586","-107.00","","Posted"
"07/04/2026","STARBUCKS STORE 201","-4.16","","Posted"
"07/04/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"07/03/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"07/02/2026","SUNSHINE MORTGAGE CO LOAN PAYMT","-1650.00","","Posted"
"07/02/2026","SUNCOAST AUTO FINANCE PAYMT","-385.00","","Posted"
"07/02/2026","AMAZON PRIME","-14.99","","Posted"
"07/02/2026","BANFIELD PET HOSPITAL","-45.00","","Posted"
"07/02/2026","DD *DOORDASH 151","-35.59","","Posted"
"07/02/2026","KROGER #340","-48.12","","Posted"
"07/02/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"07/01/2026","GEICO INSURANCE PREM","-148.98","","Posted"
"07/01/2026","GOOGLE *GOOGLE ONE","-2.99","","Posted"
"07/01/2026","NETFLIX.COM","-15.49","","Posted"
"07/01/2026","HELLOFRESH","-66.12","","Posted"
"07/01/2026","DD *DOORDASH 159","-36.10","","Posted"
"07/01/2026","AMAZON MKTPL*52R881","-51.37","","Posted"
"07/01/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"06/30/2026","DUKE ENERGY","-156.71","","Posted"
"06/30/2026","COMCAST / XFINITY","-95.00","","Posted"
"06/30/2026","VERIZON WIRELESS","-86.65","","Posted"
"06/30/2026","PLANET FITNESS","-24.99","","Posted"
"06/30/2026","SPOTIFY USA","-11.99","","Posted"
"06/29/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"06/26/2026","DD *DOORDASH 565","-21.48","","Posted"
"06/25/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"06/24/2026","ACME CORP PAYROLL","2855.16","","Posted"
"06/23/2026","HELLOFRESH","-73.41","","Posted"
"06/23/2026","DD *DOORDASH 318","-30.43","","Posted"
"06/22/2026","STARBUCKS STORE 411","-4.76","","Posted"
"06/21/2026","DD *DOORDASH 956","-15.02","","Posted"
"06/21/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"06/21/2026","PURCHASE RETURN AMAZON.COM","22.50","","Posted"
"06/20/2026","KROGER #540","-91.35","","Posted"
"06/20/2026","STARBUCKS STORE 603","-7.74","","Posted"
"06/20/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"06/18/2026","DD *DOORDASH 995","-31.12","","Posted"
"06/18/2026","AMAZON MKTPL*75X239","-79.56","","Posted"
"06/18/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"06/17/2026","DD *DOORDASH 649","-39.25","","Posted"
"06/17/2026","SHELL OIL 677","-39.60","","Posted"
"06/16/2026","KROGER #488","-66.78","","Posted"
"06/16/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"06/15/2026","HELLOFRESH","-71.36","","Posted"
"06/15/2026","SHELL OIL 353","-54.29","","Posted"
"06/15/2026","STARBUCKS STORE 391","-7.95","","Posted"
"06/14/2026","DD *DOORDASH 761","-25.40","","Posted"
"06/13/2026","SHELL OIL 329","-33.11","","Posted"
"06/13/2026","AMAZON MKTPL*75W379","-19.46","","Posted"
"06/12/2026","KROGER #619","-51.50","","Posted"
"06/11/2026","ACME CORP PAYROLL","2860.07","","Posted"
"06/11/2026","STARBUCKS STORE 155","-7.82","","Posted"
"06/11/2026","AMAZON MKTPL*24O220","-61.95","","Posted"
"06/10/2026","KROGER #780","-81.97","","Posted"
"06/09/2026","DD *DOORDASH 516","-30.81","","Posted"
"06/09/2026","AMAZON MKTPL*40W262","-16.18","","Posted"
"06/09/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"06/08/2026","HELLOFRESH","-64.55","","Posted"
"06/07/2026","DD *DOORDASH 652","-30.44","","Posted"
"06/06/2026","DD *DOORDASH 438","-44.06","","Posted"
"06/05/2026","DD *DOORDASH 172","-38.39","","Posted"
"06/04/2026","DD *DOORDASH 446","-38.26","","Posted"
"06/03/2026","KROGER #294","-51.53","","Posted"
"06/03/2026","STARBUCKS STORE 383","-5.05","","Posted"
"06/03/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"06/02/2026","SUNCOAST AUTO FINANCE PAYMT","-385.00","","Posted"
"06/02/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"06/01/2026","SUNSHINE MORTGAGE CO LOAN PAYMT","-1650.00","","Posted"
"06/01/2026","GEICO INSURANCE PREM","-143.07","","Posted"
"06/01/2026","DUKE ENERGY","-144.80","","Posted"
"06/01/2026","AMAZON PRIME","-14.99","","Posted"
"06/01/2026","GOOGLE *GOOGLE ONE","-2.99","","Posted"
"06/01/2026","PLANET FITNESS","-24.99","","Posted"
"06/01/2026","BANFIELD PET HOSPITAL","-45.00","","Posted"
"06/01/2026","NETFLIX.COM","-15.49","","Posted"
"06/01/2026","SPOTIFY USA","-11.99","","Posted"
"06/01/2026","HELLOFRESH","-63.14","","Posted"
"06/01/2026","KROGER #846","-81.75","","Posted"
"06/01/2026","SHELL OIL 987","-45.14","","Posted"
"05/31/2026","COMCAST / XFINITY","-95.00","","Posted"
"05/31/2026","VERIZON WIRELESS","-85.55","","Posted"
"05/31/2026","KROGER #282","-46.92","","Posted"
"05/30/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"05/30/2026","BEST BUY 00123","-249.99","","Posted"
"05/29/2026","ACME CORP PAYROLL","2834.22","","Posted"
"05/29/2026","DD *DOORDASH 847","-28.82","","Posted"
"05/28/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"05/26/2026","DD *DOORDASH 662","-25.21","","Posted"
"05/26/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"05/25/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"05/24/2026","HELLOFRESH","-66.58","","Posted"
"05/24/2026","KROGER #436","-97.45","","Posted"
"05/24/2026","SHELL OIL 795","-47.27","","Posted"
"05/24/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"05/22/2026","DD *DOORDASH 180","-27.98","","Posted"
"05/21/2026","DD *DOORDASH 951","-34.11","","Posted"
"05/21/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"05/18/2026","KROGER #979","-53.31","","Posted"
"05/18/2026","STARBUCKS STORE 514","-6.82","","Posted"
"05/18/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"05/17/2026","DD *DOORDASH 265","-33.78","","Posted"
"05/17/2026","SHELL OIL 871","-46.91","","Posted"
"05/17/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"05/16/2026","HELLOFRESH","-64.09","","Posted"
"05/15/2026","ACME CORP PAYROLL","2863.77","","Posted"
"05/14/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"05/13/2026","DD *DOORDASH 282","-29.98","","Posted"
"05/13/2026","SHELL OIL 498","-35.84","","Posted"
"05/13/2026","STARBUCKS STORE 516","-7.03","","Posted"
"05/12/2026","AMAZON MKTPL*51V207","-66.82","","Posted"
"05/12/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"05/11/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"05/10/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"05/09/2026","HELLOFRESH","-73.62","","Posted"
"05/09/2026","DD *DOORDASH 214","-25.77","","Posted"
"05/09/2026","KROGER #281","-58.01","","Posted"
"05/09/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"05/08/2026","SHELL OIL 492","-51.53","","Posted"
"05/08/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
"05/07/2026","SHELL OIL 378","-48.43","","Posted"
"05/06/2026","DD *DOORDASH 111","-28.40","","Posted"
"05/06/2026","AMAZON MKTPL*76U552","-33.74","","Posted"
"05/02/2026","ACME CORP PAYROLL","2857.95","","Posted"
"05/02/2026","SUNSHINE MORTGAGE CO LOAN PAYMT","-1650.00","","Posted"
"05/02/2026","SUNCOAST AUTO FINANCE PAYMT","-385.00","","Posted"
"05/02/2026","GEICO INSURANCE PREM","-146.72","","Posted"
"05/02/2026","DUKE ENERGY","-96.89","","Posted"
"05/02/2026","COMCAST / XFINITY","-95.00","","Posted"
"05/02/2026","VERIZON WIRELESS","-85.70","","Posted"
"05/02/2026","AMAZON PRIME","-14.99","","Posted"
"05/02/2026","GOOGLE *GOOGLE ONE","-2.99","","Posted"
"05/02/2026","PLANET FITNESS","-24.99","","Posted"
"05/02/2026","BANFIELD PET HOSPITAL","-45.00","","Posted"
"05/02/2026","NETFLIX.COM","-15.49","","Posted"
"05/02/2026","SPOTIFY USA","-11.99","","Posted"
"05/02/2026","HELLOFRESH","-64.84","","Posted"
"05/02/2026","AMAZON MKTPL*83S121","-76.46","","Posted"
"05/02/2026","SUNPASS TOLL AUTHORITY","-2.50","","Posted"
